Place,Region,Confirmed,Deaths,Recovered,Active,Last Update
Indiana,USA,657,17,0,640,2020-03-27 03:00:00 * CTY: Marion 293; Hamilton 40; Johnson 36; Lake 31; Hendricks 21; St. Joseph 21; Allen 19; Decatur 13; Franklin 13; Ripley 11; Clark 10; Hancock 9; Tippecanoe 8; Boone 7; Floyd 7; Elkhart 7; Morgan 7; Delaware 7; Monroe 6; Bartholomew 6; Howard 6; Porter 5; Owen 4; Jennings 4; Madison 4; Vanderburgh 4; Washington 3; Fayette 3; Jasper 3; Grant 3; Dearborn 3; Vigo 3; Warrick 3; Gibson 3; LaPorte 2; Harrison 2; Jackson 2; Montgomery 2; Putnam 2; Tipton 2; Shelby 2; Lawrence 2; DeKalb 1; Posey 1; Starke 1; Marshall 1; Rush 1; Scott 1; Brown 1; Ohio 1; Noble 1; Wells 1; Orange 1; Warren 1; Sullivan 1; Dubois 1; Fountain 1; Wayne 1; Adams 1; Miami 1
Jiangsu,Mainland China,640,0,631,9,3/26/20 2:00
Argentina,Argentina,589,12,63,514,2020-03-27 01:00:00 * (not updated after 387) CABA 147; Buenos Aires 102; Chaco 41; Cordoba 34; Santa Fe 20; Tierra del Fuego 10; Tucuman 7; Entre Rios 5; Mendoza 5; Rio Negro 4; Neuquen 3. Source: @SouthernVOID
Maryland,USA,583,4,0,579,2020-03-27 03:00:00 * CTY: Montgomery 164; Prince George's 101; Baltimore 81; Baltimore City 72; Howard 49; Anne Arundel 41; Frederick 14; Charles 10; Harford 9; Calvert 7; Carroll 7; Wicomico 5; St. Mary's 4; Cecil 4; Washington 4; Garrett 3; Worcester 2; Queen Anne's 2; Talbot 1; Kent 1; Somerset 1; Caroline 1
Peru,Peru,580,9,14,557,2020-03-27 01:00:00 * Lima 453; Piura 20; Loreto 18; Junin 11; Arequipa 15; Callao 15; Lambayeque 12; Cusco 10; La Libertad 9; Ancash 6; Tumbes 3; Huanuco 2; Ica 3; Madre de Dios 1; San Martin 1; Cajamarca 1. Source: @SouthernVOID
Chongqing,Mainland China,578,6,570,2,3/24/20 0:00
Slovenia,Slovenia,577,6,10,561,3/26/20 17:00
Beijing,Mainland China,566,8,406,152,3/26/20 7:00
Qatar,Qatar,549,0,43,506,3/26/20 22:00
Sichuan,Mainland China,547,3,536,8,3/25/20 7:00
Estonia,Estonia,538,1,8,529,3/26/20 16:00
Nevada,USA,536,10,0,526,2020-03-27 03:00:00 * CTY: Clark 350; unknown 109; Washoe 67; Douglas 3; Carson City 2; Elko 2; Lyon 1; Nye 1; Humboldt 1
Alabama,USA,531,1,0,530,2020-03-27 03:00:00 * CTY: Jefferson 169; Shelby 53; Lee 47; Madison 43; Tuscaloosa 20; Mobile 19; Walker 18; Montgomery 17; Chambers 13; Limestone 13; Elmore 10; Morgan 9; Lauderdale 9; Marion 7; St. Clair 6; Cullman 6; Autauga 6; Baldwin 5; Chilton 4; Talladega 4; Tallapoosa 4; Etowah 4; Jackson 4; Houston 3; Marshall 3; Lawrence 3; Franklin 3; Dallas 2; Wilcox 2; Coosa 2; Bullock 2; Washington 2; Blount 2; Pike 2; Calhoun 2; Cherokee 1; Russell 1; Cleburne 1; Choctaw 1; Colbert 1; Lamar 1; DeKalb 1; Lowndes 1; Clay 1; Marengo 1; Butler 1; Crenshaw 1; Pickens 1
